flinders shoal,-9.88333,129.28333,
zuytdorp point,-26.40321,113.29991,
zuytdorp cliffs,-27.10165,113.88189,
mount zion,-33.19381,138.20853,
mount zephyr,-28.38701,121.7936,
mount zeil,-23.39292,132.3775,
zeewyk channel,-28.78333,113.85,
zed hill,-14.88333,132.28333,
zanthus,-31.03511,123.57749,
zadows hill,-35,139.38333,
yuwanyadi rockhole,-31.81667,128.26667,
yuwaiyunn creek,-14.43333,131.66667,
yuwah point,-16.68333,139.41667,
yurrauwe pans,-28.96667,131.5,
yurongan waterhole,-16.20323,132.39622,
yunumbar well,-25.96667,116.01667,
yunta creek,-32.71667,139.7,
yunta,-32.58333,139.55,
yundaga,-29.79301,121.14855,
yungunup pool,-34.4,118.75,
yungermere,-34.4,118.13333,
yungarup hill,-33.90596,122.50128,
yundi,-35.31667,138.63333,
yundhajibbie soak,-28.06667,122.63333,
yundra outcamp,-25.73732,116.9175,
yundamindera,-29.25146,122.10491,
yuna,-28.33333,115,
yumburra reservoir,-32.95,135.38333,
yumbarra rockhole,-31.75,133.51667,
yumali,-35.50843,139.75781,
yulleroo well,-17.77333,122.9371,
yulgan brook,-31.31667,116.51667,
yule river,-20.37961,118.21087,
yule entrance,-16.34248,124.396,
yule brook,-32.03333,115.96667,
uulawarra creek,-23.36553,116.49379,
yulakin gully,-33.03333,117.56667,
yuki,-34.71667,138.73333,
yuin well,-27.98333,116.03333,
yuin,-27.97985,116.0353,
yuendumu,-22.26667,131.81667,
yudnapinna hill,-32.09821,137.11518,
yudnapinna,-32.13333,137.15,
yudenda rockhole,-32.01667,126.6,
yowungup,-33.53333,116.13333,
yow rockhole,-22,130.61667,
yownama creek,-21.26667,121.05,
yowie rockhole,-30.46667,122.35,
yowerreena hill,-25.31006,119.8994,
yowerie,-27.2732,117.44659,
yoweragabbie well,-28.2265,117.6598,
yoweragabbie,-28.23429,117.66099,
yoweragabbie,-28.23333,117.68333,
yowalga rockholes,-26.8,125.7,
yowakirrennina creek,-28,138.48333,
yourmill waterhole,-12.66667,132.66667,
yourdar hill,-26.32477,116.23327,
yourdamung lake,-33.19935,116.2685,
yourambulla peak,-31.95001,138.38408,
youraling,-32.3,116.98333,
youno downs,-27.0717,119.25267,
youngs lake,-30.88333,137.18333,
youngs,-35.01667,117.51667,
young rocks,-36.38333,137.25,
young river,-34.5,117.78333,
young river,-33.80509,121.18028,
young range,-25.01667,125.26667,
younghusband peninsula,-36,139.5,
mount younghusband,-28.16667,135.86667,
lake younghusband,-30.8351,136.09541,
cape younghusband,-36.05,136.81667,
mount young,-33.09957,137.48379,
mount young,-15.1517,135.73061,
youndegin creek,-31.65,117.3,
youndegin,-31.78848,117.3287,
youltangunna hill,-27.56283,136.54989,
youlingoorina,-21.15,118.16667,
youlgarou rockhole,-31.88333,127.45,
